597.49,829.101,46.2157,-0.0176355,0,-1.72042
719.625,760.743,52.093,-0.0576356,0,-1.95642
845.326,817.333,48.5304,-0.0236361,0,-0.212424
906.397,1096.98,40.9515,0.044364,0,-0.200424
954.791,1286.61,50.0683,0.044364,0,-0.106424
928.078,1471.52,54.8048,-0.0656358,0,-1.86443
1104.03,1487.47,80.1166,0.0843641,0,-1.51243
1405.67,1482.9,167.564,0.088364,0,-1.07843
1768.61,1340.72,243.278,0.0863639,0,-1.98643
1793.55,1148.55,188.092,0.0703643,0,-1.21044
1892.32,1250.66,189.875,0.0163643,0,-0.900436
0,0,0,0,0,0
